Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.1,537082,300,1790.3,1792.0,1728,1824,18.2,"void cub::_V_300304_SM_890::detail::reduce::DeviceReduceKernel<cub::_V_300304_SM_890::detail::reduce::policy_selector_from_types<float, unsigned long long, cuda::std::__4::plus<void>>, const float *, unsigned long long, cuda::std::__4::plus<void>, float, cuda::std::__4::identity>(T2, T5 *, T3, cub::_V_300304_SM_890::GridEvenShare<T3>, T4, T6)"
0.0,498360,300,1661.2,1664.0,1600,1856,38.8,"lfs::training::kernels::<unnamed>::update_camera_loss_heatmap_kernel(const float *, int, float, float *, float *, unsigned long)"
0.0,422108,300,1407.0,1408.0,1376,1440,9.6,"lfs::training::kernels::<unnamed>::final_mean_reduce_kernel(const float *, float *, int, unsigned long)"
0.0,370495,300,1235.0,1248.0,1184,1312,20.3,"void cub::_V_300304_SM_890::detail::reduce::DeviceReduceSingleTileKernel<cub::_V_300304_SM_890::detail::reduce::policy_selector_from_types<float, unsigned long long, cuda::std::__4::plus<void>>, float *, float *, int, cuda::std::__4::plus<void>, float, float, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)"
0.0,355261,78,4554.6,4575.5,4288,4864,112.4,"void cub::_V_300304_SM_890::detail::select::DeviceSelectSweepKernel<cub::_V_300304_SM_890::detail::select::policy_hub<float, bool, int, (bool)0, (cub::_V_300304_SM_890::SelectImpl)0>::Policy1000, thrust::_V_300304_SM_890::transform_iterator<lfs::core::ops::extract_value_op, thrust::_V_300304_SM_890::zip_iterator<cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<const float>, thrust::_V_300304_SM_890::device_ptr<const unsigned char>>>, thrust::_V_300304_SM_890::use_default, thrust::_V_300304_SM_890::use_default>, thrust::_V_300304_SM_890::transform_iterator<lfs::core::ops::extract_mask_op, thrust::_V_300304_SM_890::zip_iterator<cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<const float>, thrust::_V_300304_SM_890::device_ptr<const unsigned char>>>, thrust::_V_300304_SM_890::use_default, thrust::_V_300304_SM_890::use_default>, thrust::_V_300304_SM_890::device_ptr<float>, long *, cub::_V_300304_SM_890::ScanTileState<int, (bool)1>, void lfs::core::tensor_ops::<unnamed>::launch_masked_select_impl<float>(const T1 *, const unsigned char *, T1 *, unsigned long, unsigned long, CUstream_st *)::[lambda(bool) (instance 1)], cub::_V_300304_SM_890::NullType, int, cub::_V_300304_SM_890::detail::select::streaming_context_t<long, (bool)1>, (cub::_V_300304_SM_890::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::_V_300304_SM_890::detail::vsmem_t)"
0.0,345662,338,1022.7,1024.0,992,1056,10.9,"void cub::_V_300304_SM_890::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::_V_300304_SM_890::detail::radix_sort::policy_selector_from_types<unsigned int, unsigned int, unsigned int>, unsigned int>(T2 *)"
0.0,303934,300,1013.1,1024.0,992,1088,17.3,"void cub::_V_300304_SM_890::detail::transform::transform_kernel<cub::_V_300304_SM_890::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<const float>, thrust::_V_300304_SM_890::device_ptr<const float>>, thrust::_V_300304_SM_890::device_ptr<float>>, int, cub::_V_300304_SM_890::detail::transform::always_true_predicate, lfs::core::ops::add_op, float *, const float *, const float *>(T2, int, bool, T3, T4, T5, cub::_V_300304_SM_890::detail::transform::kernel_arg<T6>...)"
0.0,294302,300,981.0,992.0,959,1152,22.2,"void cub::_V_300304_SM_890::detail::transform::transform_kernel<cub::_V_300304_SM_890::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<float>>, thrust::_V_300304_SM_890::device_ptr<float>>, int, cub::_V_300304_SM_890::detail::transform::always_true_predicate, lfs::core::tensor_ops::DivideByFunctor, float *, float *>(T2, int, bool, T3, T4, T5, cub::_V_300304_SM_890::detail::transform::kernel_arg<T6>...)"
0.0,267775,300,892.6,864.0,768,1312,87.1,"void cub::_V_300304_SM_890::detail::scan::DeviceScanInitKernel<cub::_V_300304_SM_890::ScanTileState<unsigned long, (bool)1>>(T1, int)"
0.0,224989,6,37498.2,18544.0,16288,77951,31053.3,"void fast_lfs::optimizer::kernels::adam::joint_encode_zero_shN_cu<(int)8>(unsigned char *, const float *, const long *, int, int)"
0.0,197503,80,2468.8,2464.0,2336,2560,51.4,"void cub::_V_300304_SM_890::detail::transform::transform_kernel<cub::_V_300304_SM_890::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::_V_300304_SM_890::zip_iterator<cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<const unsigned char>>>>, thrust::_V_300304_SM_890::device_ptr<float>>, int, cub::_V_300304_SM_890::detail::transform::always_true_predicate, lfs::core::ops::masked_fill_op<float>, float *, thrust::_V_300304_SM_890::zip_iterator<cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<const unsigned char>>>>(T2, int, bool, T3, T4, T5, cub::_V_300304_SM_890::detail::transform::kernel_arg<T6>...)"
0.0,182111,78,2334.8,2208.0,1984,4192,382.6,"void cub::_V_300304_SM_890::detail::transform::transform_kernel<cub::_V_300304_SM_890::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<cuda::__4::counting_iterator<long>>, thrust::_V_300304_SM_890::device_ptr<long>>, int, cub::_V_300304_SM_890::detail::transform::always_true_predicate, cuda::__4::__callable_permitting_copied_arguments<thrust::_V_300304_SM_890::system::detail::generic::detail::compute_sequence_value<long>>, long *, cuda::__4::counting_iterator<long>>(T2, int, bool, T3, T4, T5, cub::_V_300304_SM_890::detail::transform::kernel_arg<T6>...)"
0.0,169119,88,1921.8,1984.0,1536,2112,143.1,"void cub::_V_300304_SM_890::detail::transform::transform_kernel<cub::_V_300304_SM_890::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<const float>>, thrust::_V_300304_SM_890::device_ptr<unsigned char>>, int, cub::_V_300304_SM_890::detail::transform::always_true_predicate, lfs::core::ops::scalar_right_op<lfs::core::ops::greater_op, float>, unsigned char *, const float *>(T2, int, bool, T3, T4, T5, cub::_V_300304_SM_890::detail::transform::kernel_arg<T6>...)"
0.0,158462,16,9903.9,10111.5,8480,10784,734.8,"void cub::_V_300304_SM_890::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300304_SM_890::detail::radix_sort::policy_selector_from_types<float, long, unsigned int>, (cub::_V_300304_SM_890::SortOrder)1, float, long, unsigned int, int, int, cub::_V_300304_SM_890::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
0.0,148670,78,1906.0,1952.0,1536,2016,104.1,"void cub::_V_300304_SM_890::detail::transform::transform_kernel<cub::_V_300304_SM_890::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<const float>>, thrust::_V_300304_SM_890::device_ptr<unsigned char>>, int, cub::_V_300304_SM_890::detail::transform::always_true_predicate, lfs::core::ops::isnan_op, unsigned char *, const float *>(T2, int, bool, T3, T4, T5, cub::_V_300304_SM_890::detail::transform::kernel_arg<T6>...)"
0.0,145373,38,3825.6,3824.0,3584,4000,107.3,"void cub::_V_300304_SM_890::detail::scan::DeviceScanKernel<cub::_V_300304_SM_890::detail::scan::policy_hub<unsigned int, unsigned int, unsigned int, unsigned int, cuda::std::__4::plus<void>>::Policy1000, unsigned int *, unsigned int *, cub::_V_300304_SM_890::ScanTileState<unsigned int, (bool)1>, cuda::std::__4::plus<void>, cub::_V_300304_SM_890::NullType, unsigned int, unsigned int, (bool)0, cub::_V_300304_SM_890::NullType>(T2, T3, T4, int, T5, T6, T7)"
0.0,127454,38,3354.1,3456.0,1856,3616,360.6,"void lfs::core::tensor_ops::vectorized_binary_kernel<lfs::core::ops::add_op>(const float *, const float *, float *, unsigned long, T1)"
0.0,125598,2,62799.0,62799.0,61023,64575,2511.6,"void lfs::core::<unnamed>::gather_to_linear_kernel<long>(const float4 *, const T1 *, float *, unsigned int, unsigned int, unsigned int)"
0.0,122108,38,3213.4,3216.0,3008,3456,100.8,"edge_compute::rasterization::kernels::forward::extract_instance_ranges_cu(const unsigned int *, uint2 *, unsigned int, unsigned int)"
